German,English
alf ,Alf
ladys ,ladies
sms ,SMS
verkauf ,sale
jamie ,Jamie
verbergen ,hide
sorgt ,ensure
karl ,karl
sohnes ,son
berühmt ,famous
aussteigen ,exit
bonnie ,Bonnie
ginge ,go
reingehen ,go in
durfte ,could
korrektur ,correction
wirft ,throwing
titten ,tits
betreten ,enter
todes ,death
one ,one
doctor ,doctor
blöden ,stupid
miles ,miles
rausholen ,get out
hohe ,height
aufnahme ,recording
by ,by
holmes ,punch
hübscher ,prettier
vegas ,Vegas
manager ,Manager
stellung ,position
höhle ,cave
schokolade ,chocolate
angeboten ,offered
befreundet ,friendly
weib ,woman
ausgerechnet ,of all things
walker ,walker
beibringen ,teach
nelson ,Nelson
ex ,ex
belohnung ,reward
seelen ,soul
steine ,stone
garage ,garage
scheißkerl ,bitch
gestört ,disturbed
cooper ,cooper
ruhen ,rest
pillen ,pills
gepäck ,baggage
carol ,Carol
norman ,norman
zoe ,zoe
amerikanischen ,American
telefonieren ,to phone
heirate ,marriage
erkenne ,recognize
funk ,Wireless
grüß ,greeting
hurensohn ,son of a bitch
mögliche ,possible
spring ,spring
uni ,University
scheinbar ,seemingly
fakten ,figures
informieren ,inform
jugend ,youth
feier ,celebration
wenigen ,a few
söhne ,sons
benzin ,petrol
nix ,nothing
vampire ,vampire
erkennt ,recognizes
sicherer ,safer
zigaretten ,cigarette
dummes ,stupid
mauer ,Wall
erneut ,again
flügel ,wing
schluck ,swallow
hierbleiben ,stay here
abschluss ,diploma
christus ,Christ
bezahle ,pay
böses ,evil
dummkopf ,fool
gerüchte ,rumor
eingestellt ,set
m. ,M.
weitergehen ,go on
technik ,technology
ali ,ali
bezweifle ,doubt
piper ,piper
over ,over
gekostet ,prosted
anzeige ,advertisement
wohnst ,live
hans ,Hans
ergebnis ,Result
bedingungen ,conditions
brad ,brad
aufzuhalten ,stop
versprich ,promising
verdiene ,deserve
geschnappt ,snapped
francis ,Francis
eile ,Hurry
innen ,Inside
italien ,Italy
einig ,Some
verhandeln ,negotiate
weswegen ,why
nützlich ,useful
inneren ,inner
gentleman ,gentleman
felix ,Felix
vergesse ,forget
dunkle ,dark
warnung ,warning
gemeinde ,local community
diamanten ,diamond
wächst ,grows
gewöhnlich ,usually
seil ,rope
bär ,bear
euro ,Euro
großartige ,great
beth ,beth
ware ,were
traurige ,sad
persönliche ,personal
figur ,figure
time ,time
roboter ,robot
anschauen ,look at
kürzlich ,recently
material ,material
paula ,paula
käme ,come to
stellst ,set
bereitet ,prepared
einfallen ,get an idea
käfig ,Cage
fantasie ,fantasy
brach ,broke
satz ,sentence
kommissar ,commissioner
exzellenz ,excellence
schuldest ,fond
nass ,wet
rächen ,revenge
womöglich ,possibly
begrüßen ,greet
lou ,lou
davis ,Davis
überraschen ,to surprise
menschlichen ,human
repariert ,repaired
führung ,guide
gestanden ,stood
jacob ,jacob
schütze ,Sagittarius
störe ,disturbance
nina ,nina
filmen ,film
jobs ,jobs
maschinen ,machinery
unterlagen ,documents
palast ,palace
graben ,dig
kette ,chain
auftauchen ,Pop up
interessante ,interesting
wovor ,what
springt ,jump
terroristen ,terrorist
stan ,stan
bekämpfen ,fight
lärm ,noise
flehe ,flare
aufgewachsen ,grew up
arbeiter ,worker
größere ,larger
humor ,humor
betrachten ,regard
be ,be
organisation ,organization
widerstand ,resistance
bergen ,mountain
studio ,Studio
hausaufgaben ,homework
vögeln ,bird
bescheuert ,stupid
weggehen ,walk away
teller ,Plate
original ,original
revolution ,revolution
hitler ,Hitler
mädel ,girl
verbinden ,associate
nathan ,Nathan
ermittlungen ,investigation
steck ,plug
wäsche ,Laundry
rätsel ,mystery
besonderen ,special
hunderte ,hundreds
versetzt ,offset
bibel ,Bible
heiliger ,saint
reiß ,tear
kopie ,Copy
besitzen ,own
zeitungen ,newspapers
zurückgekommen ,come back
süßes ,sweet
barbara ,barbara
ungewöhnlich ,unusual
höhe ,height
geschaffen ,created
beschreiben ,describe
ausgesucht ,select
notwendig ,necessary
dunklen ,dark
ignorieren ,to ignore
toter ,Dead
deck ,deck
narr ,fool
scheißegal ,I do not give a shit
höchstens ,at most
übersehen ,overlook
geirrt ,rag
darunter ,underneath
außen ,Outside
einzig ,only
stirbst ,die
lhren ,carry
spielchen ,gambling
girl ,girl
fahrrad ,bicycle
nutte ,hooker
wilde ,wild
jordan ,Jordan
bequem ,comfortable
rauch ,smoke
verschiedenen ,different
kamst ,fell
l ,l
betty ,Betty
pool ,pool
hubschrauber ,helicopter
wüssten ,knew
erstmal ,for now
kollege ,colleague
vernichtet ,destroyed
gesichter ,faces
derselbe ,the same
hattet ,hurt
konto ,account
freie ,freely
casey ,Casey
haken ,hook
munition ,ammunition
sünde ,sin
militär ,military
gefasst ,fitted
anzeichen ,sign
geklappt ,succeeded
hintergrund ,background
erwähnen ,mention
tipp ,tip
reißen ,tear
keins ,no
genial ,ingenious
berichte ,reports
kram ,junk
schnapp ,snap
solle ,sold
randy ,randy
umziehen ,relocate
zunächst ,first
keinerlei ,no
typisch ,typical
bietet ,offers
leb ,loving
technologie ,technology
john-boy ,John boy
ruinieren ,ruin
jünger ,younger
poirot ,Poirot
umso ,all the same
starben ,died
rette ,rescue
triffst ,trend
unhöflich ,not polite
safe ,safe
anzurufen ,call
universität ,university
mai ,May
heben ,to lift
koch ,a cook
derselben ,the same
katastrophe ,catastrophe
male ,times
olivia ,olivia
prüfung ,test
brown ,Brown
gesetze ,laws
meeting ,meeting
versicherung ,insurance
getragen ,carried
ehefrau ,wife
mitmachen ,participate
tauschen ,To deceive
ergebnisse ,Results
boston ,Boston
reg ,reg
einstellen ,to adjust
reagieren ,react
gefehlt ,missing
verwandeln ,transform
gedauert ,took
senden ,send
blair ,blair
reporter ,reporter
abgeben ,hand over
mm ,MM
parker ,parker
anhören ,listen
bibliothek ,library
japan ,Japan
hinsetzen ,sit down
hannah ,Hannah
serena ,Serena
motiv ,motive
paige ,Paige
schalten ,switch
derek ,derek
gewöhnen ,get used to
lernte ,learned
vereinigten ,united
gewicht ,weight
zweiter ,second
badezimmer ,bathroom
schieben ,push
dreimal ,3 times
weich ,soft
echtes ,genuine
zweitens ,Secondly
drachen ,dragon
bahnhof ,train station
erschöpft ,exhausted
genauer ,more accurate
verlange ,demand
spanisch ,Spanish
verrat ,Treason
hexen ,witch
live ,live
legende ,legend
taub ,deaf
freu ,pleasure
konzert ,concert
hopp ,hop
wiederzusehen ,see again
doppelt ,double
last ,load
vergleich ,comparison
böser ,boner
herzlich ,heartfelt
monica ,Monica
taschen ,pockets
genügt ,enough
besucher ,visitor
spanien ,Spain
großzügig ,generous
teddy ,teddy
hauses ,house
leihen ,Rent
scheiden ,divide
einstellung ,setting
köstlich ,delicious
watson ,Watson
einheiten ,units
wichtigen ,important
go ,go
warne ,warning
russland ,Russia
angeschossen ,shot
sammy ,sammy
pierre ,pierre
sklaven ,slaves
laune ,mood
gesamten ,entire
stille ,silence
asche ,ash
geflogen ,flown
spion ,spy
what ,whate
aaron ,Aaron
weihnachtsmann ,Santa Claus
hervorragend ,outstanding
can ,can
verärgert ,upset
puppe ,puppet
überfall ,raid
unwichtig ,unimportant
santa ,Santa
linke ,left
übung ,a practice
buffy ,Buffy
franzosen ,French people
wehgetan ,hurt
schwäche ,weakness
couch ,couch
cousine ,cousin
grant ,grant
atme ,breathe
irgendeinem ,any
unterstützt ,supports
oscar ,Oscar
ausdruck ,expression
pleite ,broke
beleidigt ,insulted
knopf ,stud
stop ,stop
schlimme ,discriminate
beweist ,prove
katie ,katie
dramatische ,dramatic
heutigen ,present
leere ,empty
island ,Iceland
shane ,Shane
daisy ,daisy
trinkst ,drain
heimlich ,secretly
eingehen ,take
rad ,wheel
greift ,grabbing
mächtig ,powerful
williams ,Williams
sinnlos ,meaningless
versaut ,nasty
netz ,network
atem ,breath
anstellen ,set up
milliarden ,billions
flotte ,fleet
umgebung ,Surroundings
mitbringen ,bring along
beteiligt ,involved
dunkeln ,dark
entwickeln ,to develop
schämen ,be ashamed
erwachsene ,adult
zack ,zack
durchsuchen ,search
hollywood ,Hollywood
rollen ,roll
vergesst ,forgetful
tricks ,trick
plätze ,places
gefangene ,prisoner
sünden ,sin
sender ,Channel
verlass ,leaving
räumen ,vacate
lerne ,learn
rettet ,saved
hinweise ,hints
ausreden ,excuses
alexander ,Alexander
mommy ,mommy
diejenige ,those
nächte ,nights
herrscht ,reign
bud ,Bud
jahres ,year
dna ,DNA
romantisch ,romantic
flüstert ,whispering
drück ,push
jeremy ,Jeremy
bedanken ,thank
verabredet ,have an appointment
pilot ,pilot
colt ,colt
nigger ,nigger
reizend ,lovely
grade ,grade
stanley ,stanley
leib ,body
stecke ,plumbing
scheisse ,Shit
ärztin ,doctor
vergewaltigt ,raped
mußt ,must
lieferung ,delivery
botschafter ,ambassador
studieren ,to study
köpfe ,head
duschen ,have a shower
kopfschmerzen ,headache
öl ,oil
knarre ,rake
sekretärin ,secretary
phase ,phase
handschellen ,handcuff
lewis ,Lewis
versehen ,Mistake
bande ,band
treu ,faithful
positiv ,positive
meiste ,most
museum ,museum
albtraum ,nightmare
margaret ,Margaret
verlobt ,engaged
besiegt ,defeated
existieren ,exist
könne ,can
proben ,rehearse
beschissen ,shit
gewinne ,profits
personal ,staff
christian ,Christian
bewaffnet ,armed
fällen ,fall
wecken ,wake up
wirkung ,effect
kurt ,kurt
connor ,connor
rebecca ,Rebecca
therapie ,therapy
travis ,Travis
amüsieren ,amuse
ordentlich ,orderly
weglaufen ,run away
aufgewacht ,woke up
nähern ,approach
decken ,cover
sinne ,senses
leutnant ,lieutenant
zauberer ,wizard
hogan ,hogan
bittet ,ask
ankunft ,Arrivals
klopft ,knock
abstand ,distance
bewusstsein ,awareness
nation ,nation
kontrolliert ,controlled
treffer ,hits
abnehmen ,decrease
ratten ,rats
anwälte ,lawyers
tempel ,temple
vergiftet ,poisoned
kunde ,customer
August ,August
wunden ,wound
unangenehm ,unpleasant
ausrüstung ,equipment
segen ,blessing
präsentiert ,presents
schließ ,closed
kehle ,throat
krone ,Crown
garantiert ,guaranteed
durchsucht ,search
president ,president
tracy ,tracy
verfluchte ,cursed
bestimmten ,particular
clay ,clay
ladies ,ladies
b. ,b.
ladung ,charge
beinen ,legs
hell ,bright
kent ,kent
kapitel ,chapter
chase ,chase
benutze ,use
alibi ,alibi
ziele ,goals
bestie ,beast
gus ,cu
nirgends ,nowhere
wohnzimmer ,living room
beute ,prey
bau ,building
brennen ,burn
lex ,lex
durst ,thirst
logan ,logan
schwarzer ,black
schmutzig ,dirty
liebhaber ,Lover
ersetzen ,substitute
juli ,July
verfahren ,procedure
kirk ,Kirk
stiefel ,Boots
inspector ,inspector
allzu ,all too
camp ,camp
dürft ,may
orten ,places
hitze ,heat
spielzeug ,toy
tv ,TV
gloria ,Gloria
wolle ,wool
knurrt ,growl
meldet ,report
rita ,Rita
zone ,Zone
trocken ,dry
lincoln ,lincoln
schreibst ,writing
audrey ,Audrey
quinn ,Quinn
probier ,trouble
le ,LE
kids ,kids
unterschrieben ,signed
do ,do
heulen ,howl
entschlossen ,determined
paket ,package
gefiel ,liked
bekamen ,get
netten ,nice
geheime ,secret
jennifer ,Jennifer
aktiviert ,enabled
ausweg ,way out
hinweg ,over
schmuck ,Jewellery
ausgang ,exit
wunderschöne ,beautiful
zurückkommt ,returns
ann ,Ann
illegal ,illegal
ferien ,holidays
persönlichen ,personal
geiseln ,hostite
segne ,bless
normaler ,normal
steuer ,tax
aufgepasst ,watchful
murphy ,murphy
raumschiff ,spaceship
dummen ,stuff
weißer ,white
ausbildung ,education
klavier ,piano
hauptsache ,main thing
admiral ,admiral
entgegen ,opposite
fasse ,fitting
strecke ,route
julian ,Julian
version ,version
hilfreich ,helpful
schweren ,severe
h ,H
jahrelang ,yearly
leeren ,to empty
küste ,coast
baron ,baron
behörden ,authorities
grüße ,regards
geklärt ,clarified
bruders ,brother
kaufte ,bought
stone ,stone
puls ,Pulse
blue ,blue
flur ,hallway
denselben ,the same
rettung ,rescue
widerlich ,disgusting
parkplatz ,parking spot
katzen ,cats
laster ,truck
sozusagen ,so to speak
mittwoch ,Wednesday
unschuldige ,innocent
abwarten ,wait
grandma ,grandmace
florida ,Florida
re ,re
grünen ,green
könntet ,could
aufnahmen ,Recordings
vision ,vision
schauspielerin ,actress
passe ,fit
sing ,singing
glückliche ,lucky
highschool ,high school
friedhof ,cemetery
irrtum ,mistake
klienten ,client
nervt ,nervous
leidet ,suffer
reverend ,Reverend
trainieren ,work out
gegenwart ,presence
zurückbringen ,return
herman ,Herman
protokoll ,protocol
studenten ,students
durchaus ,quite
grausam ,awful
höchste ,highest
verwickelt ,involved
schmecken ,taste good
klappen ,Valves
apropos ,crop
liz ,liz
alfred ,Alfred
ansonsten ,otherwise
wade ,calf
missverständnis ,misunderstanding
mitglieder ,member
motorrad ,motorcycle
mickey ,mickey
blicken ,look
glücklicher ,happier
hübschen ,pretty
dicke ,thickness
gewünscht ,wished
gejagt ,hunted
diejenigen ,those
diskutieren ,to discuss
pinkeln ,to pee
huhn ,chicken
erheben ,raise
paradies ,paradise
tagebuch ,diary
möglichen ,potential
jenseits ,beyond
arschlöcher ,asshole
apartment ,apartment
mason ,mason
pfeift ,whistling
dieselben ,the same
wilden ,wild
vergaß ,forgot
enttäuschen ,disappoint
greg ,Greg
konsequenzen ,consequences
fleck ,spot
macgyver ,macgyver
führerschein ,driver's license
online ,on-line
bete ,pray
verdächtige ,suspect
enkel ,grandson
normalen ,normal
stift ,Pen
interview ,interview
süßen ,sweet
riesige ,huge
aussicht ,outlook
ned ,ned
wiederkommen ,come back
werbung ,advertising
warf ,threw
telefoniert ,telephoned
anblick ,sight
einzelnen ,individual
teppich ,carpet
hielten ,held
handel ,trade
gekannt ,known
getrieben ,driven
trainer ,Trainer
scully ,scully
schuh ,shoe
bomben ,bombs
kämpfer ,fighter
victoria ,victoria
bedenken ,concerns
sitzung ,meeting
ken ,ken
sicheren ,secure
verkaufe ,sell
ron ,ron
tapfer ,brave
experiment ,experiment
besorge ,contributing
tiefe ,depth
narren ,fool
abgeholt ,picked up
abhalten ,keep
bestimmte ,certain
laufenden ,running
auftaucht ,shows up
school ,school
löschen ,Clear
tara ,tare
sebastian ,Sebastian
mies ,bad
sarg ,coffin
r ,r
vertragen ,tolerate
gebissen ,bitten
geheimen ,secret
drinks ,drink
schlief ,fell asleep
tradition ,tradition
soeben ,just
komische ,funny
schultz ,Schultz
aufgehalten ,stop
fähigkeit ,capability
attraktiv ,attractive
begriff ,expression
versichere ,insur
schilde ,shield
legte ,put
mitteilen ,communicate
sdh ,SDH
gemütlich ,comfortable
muster ,template
versprach ,promised
überwachen ,monitor
eingeschlafen ,fell asleep
schlimmsten ,worst
verlierst ,losing
einzelne ,separate
vergib ,forgive
vorbeikommen ,come round
aua ,aua
brüste ,breast
sandwich ,sandwich
gewinner ,winner
verständnis ,understanding
g ,G
raymond ,raymond
papst ,pope
toast ,toast
matthew ,Matthew
einsteigen ,get in
löwen ,lion
einsetzen ,insert
gewinn ,profit
schüchtern ,shy
scheinst ,seem
pflanzen ,plants
green ,Green
sheldon ,sheldon
christopher ,Christopher
hätt ,haunt
coach ,coach
werte ,values
modell ,model
übernimmt ,takes over
walton ,Walton
heftig ,violent
vorfall ,incident
motel ,motel
teams ,team
irgendeinen ,any
müsstest ,fuss
freier ,freight
zirkus ,circus
ruhm ,Fame
zurzeit ,for now
ausmachen ,turn off
rezept ,recipe
töchter ,daughters
laute ,Lute
akzeptiert ,accepted
geschwindigkeit ,speed
beliebt ,popular
verpflichtet ,Committed
betrüger ,cheater
lohnt ,worthwhile
märchen ,fairy tales
blöder ,stupid
becky ,becky
wille ,will
hügel ,hill
königreich ,kingdom
dennis ,dennis
kehren ,sweep
baut ,build
chinesen ,Chinese
gesichert ,secured
michel ,Michel
ruth ,Ruth
block ,block
belogen ,lie
malen ,to paint
kofferraum ,trunk
road ,road
bursche ,lad
erin ,erin
geständnis ,confession
ausgegangen ,went out
begreifen ,understand
dana ,Dana
blitz ,lightning
löst ,trigger
furcht ,fear
jersey ,jersey
ernstes ,serious
verteilt ,distributed
bezüglich ,in terms of
faszinierend ,fascinating
aufmerksam ,attentive
aufregung ,excitement
wendy ,wendy
ethan ,ethane
orte ,places
entführung ,kidnapping
keucht ,ceiling
erhielt ,obtained
treue ,loyalty
felsen ,rock
malcolm ,malcolm
kurzen ,short
zorn ,anger
taucht ,diving
bestimmen ,determine
ausgesetzt ,exposed
zurückgeben ,hand back
verkehr ,traffic
bewiesen ,proven
generation ,generation
liebste ,favorite
ausrichten ,relay a message
ausnahme ,exception
ebene ,level
herrlich ,splendid
stürzen ,fall
herausforderung ,challenge
gefälligst ,complacent
farben ,Colours
geliebten ,lover
ankommen ,arrive
tempo ,tempo
unterbrechen ,interrupt
kindes ,child
babe ,babe
erden ,earth
schrecklichen ,terrible
falsches ,false
täuschen ,To deceive
tal ,valley
irgendwer ,anybody
deins ,yours
witwe ,widow
sichern ,to back up
gerede ,talk
betrug ,fraud
trauer ,grief
anwesenheit ,presence
bilden ,form
gewachsen ,grown
ausflug ,side trip
jill ,jill
verlaufen ,get lost
rand ,edge
kenny ,kenny
rechnen ,calculate
aufzug ,elevator
befragen ,consult
wegnehmen ,take away
abschied ,taking leave
benötigen ,require
pst ,pst
amt ,government office
reiche ,rich
otto ,otto
beginn ,start
daumen ,thumb
bestrafen ,punish
clarence ,Clarence
weine ,wines
fremder ,stranger
sachte ,gently
identifiziert ,identified
gestehen ,confess
mac ,mac
owen ,Owen
morris ,morris
riesig ,gigantic
entscheide ,decide
koma ,coma
prinzen ,prince
bewusstlos ,unconscious
county ,county
marke ,brand
harter ,harder
hill ,hill
höflich ,polite
jude ,Jew
setzte ,put
besorg ,bet
absichtlich ,intentionally
vermasselt ,conferred
verschlossen ,locked
sowie ,as
gesang ,singing
gedreht ,turned
ford ,ford
religion ,religion
ey ,Ey
unterschrift ,signature
rosen ,roses
persönliches ,personal
queen ,queen
fortschritte ,progress
eingang ,entry
zugehört ,listened
biete ,offer
clara ,Clara
vorhaben ,project
kultur ,Culture
patientin ,patient
stephen ,Stephen
explodiert ,exploded
nichte ,niece
verzichten ,waive
steven ,Steven
harris ,Harris
existenz ,existence
drehbuch ,script
football ,football
anzusehen ,to watch
ohnmächtig ,unconscious
zaun ,fence
anthony ,Anthony
geladen ,loaded
guckt ,look
privat ,Private
peg ,peg
brauchten ,need
liam ,Liam
heb ,heble
virginia ,Virginia
wächter ,Guardian
eimer ,bucket
blasen ,blow
rakete ,rocket
salz ,salt
unfair ,unfair
verzeiht ,forgive
esel ,donkey
krankenschwester ,nurse
symbol ,symbol
entscheidet ,decide
fahrzeug ,vehicle
unterwäsche ,underwear
betrachtet ,looked at
bauern ,farmers
engländer ,English people
wartete ,was waiting
schaust ,shark
genossen ,enjoyed
tropfen ,drops
probiert ,tried
spock ,spook
café ,coffee shop
verhungern ,to starve
versuchten ,tried
mütter ,mothers
September ,September
aktion ,action
bestanden ,pass
haaren ,hair
louise ,louise
schluchzt ,sobbing
übertrieben ,exaggerated
heilmittel ,remedy
apparat ,apparatus
vorm ,before
friedlich ,peaceful
richtiges ,proper
zuschauer ,viewers
teenager ,teenager
geliefert ,delivered
May ,Maid
gestritten ,arguing
maus ,mouse
lediglich ,only
charakter ,character
riley ,riley
krass ,awesome
weiterer ,further
group ,group
ricky ,ricky
diana ,Diana
geräusche ,Sounds
lichter ,light
starken ,strengthen
dexter ,dexter
staffel ,series
flaschen ,bottles
putzen ,clean
einbruch ,Burglary
geheilt ,healed
beißen ,bite
nicole ,nicole
stammen ,come
wände ,walls
befürchte ,fear
kostüm ,costume
warren ,warren
grüßen ,to greet
versagen ,fail
übernommen ,accepted
hoffte ,hoped
verschieben ,move
verspätung ,late arrival
whiskey ,whiskey
mars ,Mars
media ,media
entdecken ,discover
traue ,trana
thron ,throne
riesigen ,huge
zelt ,time
akzent ,accent
truppe ,troop
übertragen ,transfer
kompliment ,compliment
flammen ,Flames
erkennst ,recognize
erschrecken ,frighten
gemälde ,painting
ari ,Ari
walt ,walt
chip ,chip
mannschaft ,team
cindy ,Cindy
loyalität ,loyalty
benjamin ,Benjamin
dankeschön ,Thanks very much
vertreten ,represent
verhandlung ,negotiation
lernst ,learn
brüllt ,roared
füllen ,to fill
letztendlich ,at long last
krise ,crisis
verlierer ,loser
spencer ,specker
with ,with
kekse ,Cookies
ausschalten ,switch off
penis ,penis
profi ,professional
whisky ,whiskey
erledige ,do
gelächter ,laughter
fängst ,fear
erklär ,explain
einspruch ,objection
angeln ,fishing
rausgehen ,go out
monk ,monk
kaution ,deposit
eures ,EURES
gesessen ,satisfied
verrate ,betrayal
kehrt ,return
boy ,boy
summe ,total
lade ,unloading
billig ,cheap
curtis ,curtis
bernard ,Bernard
juni ,June
gerissen ,cracked
festgenommen ,arrested
ralph ,Ralph
befohlen ,command
überlege ,think
koordinaten ,coordinates
flog ,flew
herzinfarkt ,Heart attack
hinlegen ,lay down
nahrung ,food
liege ,lounger
geflohen ,fled
knall ,bang
nebenbei ,alongside
mylord ,my lord
nachbar ,Neighbor
küss ,kiss
lhrem ,your
geleistet ,chased
nutzt ,uses
fröhliche ,happy
nebel ,fog
front ,front
veränderung ,change
affe ,monkey
kontaktieren ,to contact
brand ,fire
fuhren ,to lead
zwischenzeit ,intermediate
eingesetzt ,used
anton ,Anton
philip ,Philip
megan ,megan
schlimmeres ,worse
rennt ,race
anlegen ,invest
nachzudenken ,think
schwör ,swear
übliche ,conventional
kreatur ,creature
verderben ,spoil
medizinische ,medical
besetzt ,occupied
zugriff ,access
kanal ,channel
blutdruck ,blood pressure
grüne ,green
ausgeben ,output
papi ,papi
clown ,clown
lhrer ,leer
sonny ,Sonny
schwören ,swear
hühnchen ,chicken
arten ,species
aufgebaut ,built up
sydney ,Sydney
betrügen ,cheat
steele ,steele
trank ,drank
glatt ,smooth
trainiert ,trained
indien ,India
autor ,author
geweint ,cried
blume ,flower
verletzungen ,injuries
special ,Special
zwillinge ,Twins
mia ,mia
reißt ,tear
zeigst ,show
stirb ,stir
justin ,Justin
diane ,Diane
gefickt ,fucked
schlägst ,striking
moskau ,Moscow
erwartest ,expectant
gestoßen ,pushed
durchgehen ,go through
praxis ,practice
gründlich ,thorough
benny ,benny
eingeschlossen ,locked in
tragödie ,tragedy
vollständig ,Completely
psychiater ,psychiatrist
rasse ,race
lance ,Lance
vertraust ,trust
kummer ,grief
eigener ,own
christine ,Christine
partei ,Political party
zentrum ,center
testament ,testament
entfernung ,distance
private ,private
welten ,worlds
verlegen ,embarrassed
heroin ,heroin
erfuhr ,learned
gelände ,terrain
kutsche ,coach
dummer ,dumber
homer ,Homer
stabil ,stable
ausgeschlossen ,locked out
out ,out
draus ,out
aufgehoben ,canceled
single ,single
regisseur ,Director
vielmals ,many times
dylan ,dylan
bestand ,duration
k ,k
erbe ,heritage
weggelaufen ,Run away
jim-bob ,Jim-Bob
noah ,Noah
leichte ,light
zuständig ,responsible
losgehen ,go off
long ,long
hustet ,hurt
brutal ,brutally
besprochen ,discussion
halbes ,half
bargeld ,Cash
peggy ,peggy
action ,action
zusammenarbeiten ,work together
beunruhigt ,worried
achte ,eighth
innere ,inner
kanone ,cannon
eklig ,disgusting
x ,X
armes ,arm
avenue ,avenue
öffentlich ,publicly
nützt ,beneficial
marine ,marine
brillant ,brilliant
köder ,bait
gespräche ,conversations
nähert ,approaching
vorgehen ,proceed
kleinigkeit ,small thing
kissen ,pillow
manny ,Manny
geisel ,hostage
gerecht ,just
trost ,consolation
gehasst ,hated
a. ,a.
gesorgt ,worried
archer ,archer
spinner ,crackhead
vergebung ,forgiveness
vieh ,cattle
schnelle ,fast
normales ,normal
gefesselt ,tied up
lautes ,loud
kalte ,cold
leitet ,lead
angehen ,approach
ekelhaft ,disgusting
salat ,salad
schicht ,layer
intelligent ,intelligent
meg ,meg
verhältnis ,relationship
socken ,socks
brieftasche ,wallet
holly ,holly
packt ,packing
eventuell ,possible
nirgendwohin ,nowhere
methode ,method
gelangen ,reach
gespannt ,tense
vernunft ,reason
zurückgehen ,go back
regnet ,raining
drama ,drama
entspannt ,relaxed
wörter ,words
klingeln ,ring
ruhige ,calm
sprung ,Leap
anständig ,respectable
gangster ,gangster
harten ,tough
aufzeichnungen ,records
ofen ,oven
cowboy ,cowboy
endgültig ,finally
aufgaben ,tasks
ruh ,seed
deutsch ,German
neil ,Neil
wodka ,vodka
know ,knowing
air ,air
respektieren ,respect
riskant ,risky
lohn ,salary
zuviel ,too much of
zustimmen ,agree
schnaps ,schnapps
troy ,troy
stufe ,step
erleichtert ,relieved
scheune ,barn
vanessa ,vanessa
klink ,clink
spaziergang ,walk
katherine ,katherine
zettel ,note
kotzen ,puke
blödmann ,dumbass
hurra ,Hooray
lana ,Lana
symptome ,symptoms
vorfahren ,ancestors
nutzlos ,useless
shaw ,shaw
telefonnummer ,phone number
nochmals ,again
grey ,gray
medien ,media
faul ,lazy
dient ,serving
russell ,russell
ereignisse ,events
aussuchen ,choose
verprügelt ,beaten
zweites ,second
sherlock ,sherlock
fabelhaft ,fabulous
klinge ,blade
leistung ,power
beileid ,sympathy
castle ,castle
durchführen ,carry out
mitchell ,Mitchell
eröffnen ,open
unschuld ,innocence
seist ,aim
stoßen ,bump
palmer ,Palmer
like ,Like
genügend ,enough
sofa ,sofa
gestatten ,allow
gekocht ,cooked
biest ,beast
lydia ,Lydia
bräuchte ,need
ausgelöst ,triggered
väter ,fathers
verarscht ,ruined
butter ,butter
nachbarschaft ,neighborhood
villa ,villa
data ,data
goldene ,golden
schließe ,clasp
saft ,juice
begehen ,commit
hauptquartier ,headquarters
geschworen ,sworn
abgenommen ,decreased
werkstatt ,workshop
überreden ,persuade
nannten ,named
gemüse ,vegetables
schläger ,bat
frisst ,frisk
bewundere ,admirable
geschieden ,divorced
assistentin ,assistant
wettbewerb ,competition
lebten ,lived
sieger ,winner
verfassung ,Constitution
küsst ,kiss
fußball ,Football
geschnitten ,sliced
master ,master
quietschen ,squeak
füttern ,feed
gürtel ,belt
unschuldigen ,innocent
menschlich ,human
eigenartig ,strange
oje ,oje
hanna ,Hanna
kabel ,cable
duke ,duke
franz ,Franz
zahn ,tooth
landet ,landing
kisten ,box
liegst ,lying
mona ,mona
krankenstation ,infirmary
leine ,rope
beschreibung ,description
ausmacht ,substantial
beschädigt ,damaged
grundstück ,property
steckte ,stuck
bahn ,train
turm ,tower
mine ,mine
sauerstoff ,oxygen
nö ,nö
angesichts ,in view of
ll ,ll
versager ,failure
deinetwegen ,yours
vic ,vic
angeklagt ,charged
aufhört ,stop
baden ,bathe
knacken ,crack
verbindungen ,links
panzer ,tank
marcel ,Marcel
bach ,bach
leiser ,quieter
stimmengewirr ,voice
zerstörung ,destruction
stirn ,forehead
finn ,finish
sanft ,soft
kloster ,monastery
charmant ,charming
aufbauen ,build up
thanksgiving ,Thanksgiving
anlass ,reason
zähle ,count
verlieben ,falling in love
atmosphäre ,the atmosphere
ronnie ,Ronnie
samantha ,Samantha
leber ,liver
jener ,that
begegnen ,to encounter
dämlich ,stupid
krawatte ,necktie
juan ,Juan
tarnung ,camouflage
kanada ,Canada
alpha ,alpha
baker ,baker
tabletten ,tablets
faust ,fist
auftreten ,appear
monroe ,monroe
blatt ,sheet
gelöscht ,turned off
dschungel ,jungle
alison ,Alison
niedlich ,cute
c. ,c.
klage ,legal action
wolltet ,ward
jonas ,Jonas
akt ,act
schießerei ,shoot-out
anwältin ,lawyer
überleg ,think about
frisur ,hairstyle
spruch ,saying
jene ,those
moral ,moral
angelegenheiten ,Affairs
dokumente ,Documents
fröhlich ,Happy
spezies ,species
oktober ,October
schachtel ,box
opfers ,victim
